Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Vladislav Namestnikov,TAM,28,,5,,6,,11,,7,,12,,16,,7,,63,,75,,0.457,,0,,2,,0,,0,,0,,28,,0.179
Teemu Pulkkinen,DET,24,,6,,5,,11,,2,,10,,3,,4,,0,,0,,N/A,,1,,2,,0,,0,,1,,45,,0.133
Evander Kane,BUF,18,,6,,4,,10,,-3,,20,,50,,7,,11,,13,,0.458,,1,,2,,1,,0,,1,,65,,0.092
Jordan Staal,CAR,28,,5,,5,,10,,-3,,6,,50,,6,,236,,162,,0.593,,0,,0,,0,,0,,1,,55,,0.091
Peter Holland,TOR,23,,4,,6,,10,,-1,,2,,36,,10,,55,,72,,0.433,,2,,4,,0,,0,,0,,39,,0.103
J.T. Brown,TAM,26,,2,,8,,10,,9,,20,,37,,7,,8,,6,,0.571,,0,,0,,0,,1,,0,,40,,0.05
Jeff Skinner,CAR,28,,8,,2,,10,,-2,,12,,5,,6,,4,,6,,0.4,,1,,0,,0,,0,,2,,78,,0.103
Ryan Strome,NYI,19,,3,,7,,10,,-1,,2,,34,,7,,2,,8,,0.2,,1,,3,,0,,0,,0,,33,,0.091
Tyler Ennis,BUF,19,,3,,7,,10,,-9,,9,,27,,6,,2,,0,,1,,2,,2,,0,,0,,0,,51,,0.059
Nino Niederreiter,MIN,26,,6,,4,,10,,0,,2,,49,,9,,9,,14,,0.391,,0,,0,,0,,0,,1,,41,,0.146
Shane Doan,ARI,20,,6,,4,,10,,-8,,40,,39,,1,,7,,6,,0.538,,4,,1,,0,,0,,1,,41,,0.146
Chris Kunitz,PIT,27,,4,,6,,10,,7,,12,,104,,13,,3,,3,,0.5,,1,,1,,0,,0,,1,,45,,0.089
David Jones,CGY,27,,7,,3,,10,,-7,,4,,50,,10,,11,,11,,0.5,,1,,0,,0,,0,,1,,47,,0.149
David Perron,PIT,27,,4,,6,,10,,-6,,18,,61,,7,,1,,2,,0.333,,1,,2,,0,,0,,0,,57,,0.07
Vernon Fiddler,DAL,28,,3,,7,,10,,2,,8,,13,,17,,162,,158,,0.506,,0,,0,,0,,1,,0,,37,,0.081
Mikhail Grigorenko,COL,25,,1,,9,,10,,5,,2,,10,,16,,73,,80,,0.477,,0,,1,,0,,0,,0,,20,,0.05
Alex Killorn,TAM,27,,4,,6,,10,,1,,4,,20,,11,,6,,9,,0.4,,2,,1,,0,,0,,1,,47,,0.085
Brian Gionta,BUF,25,,3,,7,,10,,-4,,4,,24,,8,,12,,15,,0.444,,0,,4,,0,,0,,0,,52,,0.058
Beau Bennett,PIT,22,,5,,5,,10,,-3,,8,,50,,4,,2,,2,,0.5,,1,,2,,0,,0,,0,,39,,0.128
Jean-Gabriel Pageau,OTT,28,,7,,3,,10,,4,,2,,54,,23,,241,,203,,0.543,,0,,0,,4,,0,,1,,45,,0.156
Nikolay Kulemin,NYI,29,,2,,8,,10,,6,,2,,52,,10,,3,,2,,0.6,,0,,0,,0,,0,,1,,33,,0.061
Patric Hornqvist,PIT,27,,5,,5,,10,,-3,,14,,59,,17,,1,,1,,0.5,,0,,3,,0,,0,,1,,66,,0.076
Torrey Mitchell,MON,20,,5,,5,,10,,5,,22,,26,,11,,122,,125,,0.494,,0,,0,,0,,2,,1,,23,,0.217
Andrew Cogliano,ANA,28,,3,,6,,9,,-8,,8,,54,,11,,3,,5,,0.375,,0,,0,,1,,0,,2,,43,,0.07
Colin Wilson,NAS,26,,1,,8,,9,,0,,10,,25,,11,,10,,16,,0.385,,1,,0,,0,,0,,0,,54,,0.019
Marian Gaborik,LOS,27,,5,,4,,9,,-2,,16,,13,,6,,1,,1,,0.5,,0,,1,,0,,0,,1,,64,,0.078
Andrew Shaw,CHI,28,,4,,5,,9,,1,,16,,69,,7,,62,,73,,0.459,,1,,2,,0,,0,,1,,41,,0.098
Joonas Donskoi,SAN,23,,3,,6,,9,,5,,8,,9,,13,,0,,0,,N/A,,0,,0,,0,,0,,0,,31,,0.097
Scott Laughton,PHI,28,,3,,6,,9,,-3,,15,,30,,19,,76,,107,,0.415,,0,,0,,0,,0,,0,,37,,0.081
Elias Lindholm,CAR,28,,3,,6,,9,,-7,,6,,40,,11,,53,,68,,0.438,,0,,2,,0,,0,,1,,62,,0.048
Antoine Roussel,DAL,26,,4,,5,,9,,4,,38,,26,,18,,5,,7,,0.417,,0,,0,,0,,1,,3,,26,,0.154
